category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,line_count,invoice_count,customer_count,net_qty,net_sales_ex_vat,net_vat_allocated_from_invoice,net_sales_inc_vat_allocated,completed_qty,completed_sales_ex_vat,completed_sales_inc_vat_allocated,returned_qty,returned_sales_ex_vat,returned_sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",,,1010,11487134,"Battery Backpack-airless Sprayer 4.0 AH",,standard,2,2,2,3.0000,3228.04,225.96,3454.00,3.0000,3228.04,3454.00,0.0000,0.00,0.00,2026-05-02,2026-05-26
1,"Missing category 1",,,3,21842309,"เครื่องปั่นหน้าปูนฉาบ สายไฟ 10  เมตร รุ่น RB-PSM370-10M ","wet cement  sanding machine  pSM -300   10meter wire",standard,1,1,1,1.0000,3000.00,210.00,3210.00,1.0000,3000.00,3210.00,0.0000,0.00,0.00,2026-05-29,2026-05-29
22,"Other spraying equipments",,,54,97527537,"ปืนยิงโฟม Long gun head of grouting machine รุ่นPU-GUN-Foam-01","Long gun head of grouting machine PU-GUN-Foam-01",standard,2,2,2,3.0000,2970.00,207.90,3177.90,3.0000,2970.00,3177.90,0.0000,0.00,0.00,2026-05-23,2026-05-27
30,"Drywall sander, wall sander",,,67,21961958,"กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์80","225mm Sandpaper no.80",standard,8,4,4,200.0000,2942.98,206.01,3148.99,200.0000,2942.98,3148.99,0.0000,0.00,0.00,2026-05-04,2026-05-25
2,"Airless Sprayer",,,155,37498222,"Spray Tip 517",,standard,16,15,11,16.0000,2843.46,199.04,3042.50,17.0000,2843.46,3042.50,-1.0000,0.00,0.00,2026-05-04,2026-05-30
38,"WALL CHASERS",,,1078,88471131,"ใบตัด ขนาด 12 นิ้ว  RB-320-1","BLADE 320MM",standard,1,1,1,1.0000,2820.00,197.40,3017.40,1.0000,2820.00,3017.40,0.0000,0.00,0.00,2026-05-14,2026-05-14
22,"Other spraying equipments",,,124,05170330,"PU FOAM หัวอัดจารบี เครื่องยิงโฟม- Phosset injection pump รุ่น PU- Phosset -02 Black","Phosset injection pump (Black)",standard,3,3,1,4.0000,2800.00,196.00,2996.00,4.0000,2800.00,2996.00,0.0000,0.00,0.00,2026-05-06,2026-05-27
2,"Airless Sprayer",,,159,31220419,"RB-WF60mesh White airless spray gun filter- ใส้กรองปืนสีขาว",,standard,33,32,19,86.0000,2780.38,194.63,2975.01,90.0000,2780.38,2975.01,-4.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,162,02770435,"Extend tube-ด้ามต่อหัวพ่น ขนาด 50cm.",,standard,23,23,14,21.0000,2768.81,130.82,2899.63,22.0000,2768.81,2899.63,-1.0000,0.00,0.00,2026-05-04,2026-05-30
2,"Airless Sprayer",,,762,92313469,"Tip Guard (สีดำ)",,standard,4,4,4,7.0000,2678.04,187.46,2865.50,7.0000,2678.04,2865.50,0.0000,0.00,0.00,2026-05-07,2026-05-30
