product_id	product_code	product	category	qty	invoices	sales_inc_vat
717	59782546	ปืนยิงกาวซีเมนต์ -Grouting Mortar Sprayer  หัว 4 ขนาด 15mm,25mm,42mm,60mm รุ่น ML-GM-4P	Missing category 1	1.0000	1	390.00
711	18654937	เกรียงฉาบสกิมโค้ท ขนาด 300x82x135x35x0.4 mm รุ่น HT-5309 (YOKOTA)	Missing category 1	1.0000	1	387.85
364	29252485	No.108 connector for RB899	Airless Sprayer	1.0000	1	350.00
161	32062791	Tip seat full-Spray tip -  ซีลยาง	Airless Sprayer	60.0000	17	280.38
70	53749536	กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์180	Drywall sander, wall sander	35.0000	2	229.00
63	48437366	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์150	Drywall sander, wall sander	20.0000	1	200.00
64	61332831	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์180	Drywall sander, wall sander	20.0000	1	200.00
298	16823579	Spray tip 625	Airless Sprayer	1.0000	1	196.26
715	28941812	กระเป๋าเครื่องมือช่าง คาดเอว สำหรับใส่ลวดเชื่อม รุ่น RB-1002 35x12 cm	Airless Sprayer	1.0000	1	196.26
66	60026282	กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์320	Drywall sander, wall sander	10.0000	1	100.00
480	16106432	No.5 Ball holder outlet -RB899	Airless Sprayer	2.0000	1	100.00
481	43216292	No.1 The nut of outlet valve-RB899	Airless Sprayer	1.0000	1	100.00
152	63411091	NO.3 Copper pad Oultel vevle -แหวนทองแดง RB899	Airless Sprayer	1.0000	1	100.00
33	58781023	แผ่นกระดาษทราย-SandPaper No.40 for psm370 	Missing category 1	1.0000	1	52.34
258	86906784	เทปบังสีส้มขนาด 24mm.	Paint and decorating	1.0000	1	39.25
227	84899053	เทปบังพ่นสีส้ม ขนาด 8mm.	Paint and decorating	2.0000	1	26.16
159	31220419	RB-WF60mesh White airless spray gun filter- ใส้กรองปืนสีขาว	Airless Sprayer	69.0000	20	0.00
160	91383452	ใส้กรองปืนสีแดง	Airless Sprayer	14.0000	8	0.00
327	30650677	RB-GF30mesh Green airless spray gun filterใส้กรองปืนสีเขียว	Airless Sprayer	13.0000	7	0.00
326	03379658	RB-YF100mesh Yellow airless spray gun filterใส้กรองเหลือง	Airless Sprayer	8.0000	4	0.00
287	85028638	Spray tip 215	Airless Sprayer	5.0000	5	0.00
280	31563562	Spray tip 415	Airless Sprayer	5.0000	5	0.00
1184	27441200	ข้อต่อ connector ปืนพ่นสี 360 องศา (สีเขียว)	Airless Sprayer	4.0000	4	0.00
115	67563618	water pump-wall chaser-ปั้มน้ำเครื่องกรีดผนังระบบน้ำ	Missing category 1	3.0000	3	0.00
283	36803270	Spray tip 417	Airless Sprayer	3.0000	3	0.00
284	28890478	Spray tip 413	Airless Sprayer	3.0000	3	0.00
272	57709848	Spray tip 439	Airless Sprayer	3.0000	2	0.00
337	10775560	ถังเก็บฝุ่น	Paint and decorating	3.0000	3	0.00
932	42962349	50MM CYCLONE Dust collector - ถังไซโล 	WALL CHASERS	2.0000	2	0.00
163	91102640	Universal jointer-ข้อต่อ 360องศา	Airless Sprayer	2.0000	2	0.00
269	76622399	Spray tip 519	Airless Sprayer	2.0000	2	0.00
324	58316789	ข้อต่อสาย-Union 3/8 to 3/8	Airless Sprayer	2.0000	2	0.00
221	03342900	สายพ่นปูน10m.RB-MT9004	Screw Pump	2.0000	1	0.00
304	14785828	Spray tip 315	Airless Sprayer	2.0000	2	0.00
321	65415684	4Meter Dust Suction Pipe Blue-สายดูดฝุ่น4m.	Paint and decorating	2.0000	2	0.00
308	16372974	Spray tip 621	Airless Sprayer	2.0000	1	0.00
596	62810087	1Meter Dust Suction Pipe Blue-สายดูดฝุ่น1m.	WALL CHASERS	2.0000	2	0.00
1088	29475260	ปืนพ่นปูน-sets-Spray Gun cement -MT9004	Screw Pump	1.0000	1	0.00
158	84165112	Spray tip 209	Airless Sprayer	1.0000	1	0.00
948	36919003	ปืนพ่นสกิม รุ่นSPQ911	Airless Sprayer	1.0000	1	0.00
179	88664098	ข้อต่อสาย-Union 1/4to1/4	Airless Sprayer	1.0000	1	0.00
271	12344056	Spray tip 513	Airless Sprayer	1.0000	1	0.00
306	25990794	Spray tip 619	Airless Sprayer	1.0000	1	0.00
289	60767201	Spray tip 319	Airless Sprayer	1.0000	1	0.00
1123	81953888	RB-PS Pressure hose 1/4 2 m. 	Airless Sprayer	1.0000	1	0.00
290	52416676	Spray tip 419	Airless Sprayer	1.0000	1	0.00
1058	24414829	เครื่องผสมสี ปูน หัวเกลียว รุ่น RB-HM161 - Hand mixer HM-161	Screw Pump	1.0000	1	0.00
315	75049432	Spray tip 441	Airless Sprayer	1.0000	1	0.00
