product_id	product_code	product	category	april_qty	april_sales_inc_vat	may_qty	may_sales_inc_vat	qty_change	sales_change_inc_vat
227	84899053	เทปบังพ่นสีส้ม ขนาด 8mm.	Paint and decorating	2.0000	26.16	0.0000	0.00	-2.0000	-26.16
596	62810087	1Meter Dust Suction Pipe Blue-สายดูดฝุ่น1m.	WALL CHASERS	2.0000	0.00	5.0000	0.00	3.0000	0.00
321	65415684	4Meter Dust Suction Pipe Blue-สายดูดฝุ่น4m.	Paint and decorating	2.0000	0.00	5.0000	0.00	3.0000	0.00
932	42962349	50MM CYCLONE Dust collector - ถังไซโล 	WALL CHASERS	2.0000	0.00	5.0000	0.00	3.0000	0.00
1123	81953888	RB-PS Pressure hose 1/4 2 m. 	Airless Sprayer	1.0000	0.00	0.0000	0.00	-1.0000	0.00
326	03379658	RB-YF100mesh Yellow airless spray gun filterใส้กรองเหลือง	Airless Sprayer	8.0000	0.00	20.0000	0.00	12.0000	0.00
297	73403617	Spray tip 117	Airless Sprayer	0.0000	0.00	1.0000	0.00	1.0000	0.00
158	84165112	Spray tip 209	Airless Sprayer	1.0000	0.00	2.0000	0.00	1.0000	0.00
288	20013971	Spray tip 211	Airless Sprayer	0.0000	0.00	6.0000	0.00	6.0000	0.00
287	85028638	Spray tip 215	Airless Sprayer	5.0000	0.00	2.0000	0.00	-3.0000	0.00
275	22129636	Spray tip 217	Airless Sprayer	0.0000	0.00	3.0000	0.00	3.0000	0.00
304	14785828	Spray tip 315	Airless Sprayer	2.0000	0.00	7.0000	0.00	5.0000	0.00
289	60767201	Spray tip 319	Airless Sprayer	1.0000	0.00	2.0000	0.00	1.0000	0.00
284	28890478	Spray tip 413	Airless Sprayer	3.0000	0.00	0.0000	0.00	-3.0000	0.00
280	31563562	Spray tip 415	Airless Sprayer	5.0000	0.00	14.0000	0.00	9.0000	0.00
283	36803270	Spray tip 417	Airless Sprayer	3.0000	0.00	12.0000	0.00	9.0000	0.00
281	11523954	Spray tip 421	Airless Sprayer	0.0000	0.00	9.0000	0.00	9.0000	0.00
