sale_id,sale_datetime,sale_date,reference_no,sale_status,payment_status,customer_id,customer,biller_id,biller,sale_warehouse_id,sale_warehouse_code,sale_warehouse_name,sale_item_id,product_id,product_code,product_name,product_second_name,product_type,option_id,variant_name,category_id,category_name,subcategory_id,subcategory_name,item_warehouse_id,item_warehouse_code,item_warehouse_name,product_unit_id,product_unit_code,product_unit_name,quantity,unit_quantity,net_unit_price,real_unit_price,unit_price,item_discount,discount_label,tax_rate_id,tax_name,tax_code,tax_rate,tax_label,item_tax_per_unit,line_item_tax_stored,line_sales_ex_vat,line_vat_allocated_from_invoice,line_sales_inc_vat_allocated,serial_no,comment,invoice_total_ex_tax_before_adjustments,invoice_line_ex_vat_total,invoice_product_discount,order_discount,invoice_total_discount,invoice_product_tax,order_tax,invoice_total_vat,shipping,invoice_grand_total_inc_vat,paid,payment_method,customer_source,pos,shop,return_id,return_sale_ref,return_sale_total
44119,"2026-05-08 18:59:00",2026-05-08,VT2026/0600,completed,paid,4901,"ประสงค์ออกนาม ( สำนักงานใหญ่ )",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53143,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,14813.0800,14813.0800,0.0000,0.0000,0.0000,0.0000,1036.9156,1036.9156,0.0000,15849.9956,15850.0000,,,0,0,,,0.0000
44146,"2026-05-15 16:53:00",2026-05-15,VT2026/0626,completed,paid,1350,"บริษัท คอนแทรคเตอร์ ช๊อป จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53259,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,25350.0000,25350.0000,0.0000,0.0000,0.0000,0.0000,1774.5000,1774.5000,0.0000,27124.5000,27124.5000,,,0,0,,,0.0000
44156,"2026-05-18 11:25:00",2026-05-18,VT2026/0636,completed,paid,6541,"บริษัท เอส แอนด์ พี เทรดดิ้ง แอนด์ คอนสตรัคชั่น จำกัด",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53289,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,22900.0000,22900.0000,0.0000,0.0000,0.0000,0.0000,1603.0000,1603.0000,0.0000,24503.0000,24503.0000,,,0,0,,,0.0000
44157,"2026-05-18 15:16:00",2026-05-18,VT2026/0637,completed,paid,6546,"บริษัท วัฒน์ชัยการช่าง จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53300,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,12900.0000,12900.0000,0.0000,0.0000,0.0000,0.0000,903.0000,903.0000,0.0000,13803.0000,13803.0000,,,0,0,,,0.0000
44167,"2026-05-21 16:21:00",2026-05-21,VT2026/0645,completed,paid,4901,"ประสงค์ออกนาม ( สำนักงานใหญ่ )",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53348,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,21728.9700,21728.9700,0.0000,0.0000,0.0000,0.0000,1521.0279,1521.0279,0.0000,23249.9979,23250.0000,,,0,0,,,0.0000
44172,"2026-05-22 14:36:00",2026-05-22,VT2026/0650,completed,paid,6518,"บริษัท ทีเอ็มที เอ็นจิเนียริ่ง แอนด์ เทรดดิ้ง จำกัด",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53841,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,79000.0000,79000.0000,0.0000,0.0000,0.0000,0.0000,5530.0000,5530.0000,0.0000,84530.0000,85137.7600,,,0,0,,,0.0000
44180,"2026-05-23 09:36:00",2026-05-23,VT2026/0658,completed,paid,6554,"บริษัท นำโชคพัฒนาโฮม จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53407,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,39000.0000,39000.0000,0.0000,0.0000,0.0000,0.0000,2730.0000,2730.0000,0.0000,41730.0000,41730.0000,,,0,0,,,0.0000
44195,"2026-05-25 17:49:00",2026-05-25,VT2026/0673,completed,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53500,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,29654.2100,29654.2100,0.0000,0.0000,0.0000,0.0000,2075.7947,2075.7947,0.0000,31730.0047,41730.0000,,,0,0,44196,SR2026/0001,-31730.0047
44196,"2026-05-25 17:56:00",2026-05-25,VT2026/0673,returned,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53511,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,-29654.2100,-29654.2100,0.0000,0.0000,0.0000,0.0000,-2075.7947,-2075.7947,0.0000,-31730.0047,-31730.0000,,,0,0,,SR2026/0001,0.0000
44198,"2026-05-25 17:59:00",2026-05-25,VT2026/0674,completed,paid,6558,"บริษัท ก่อเกียรติโลหะกิจ จำกัด(สำนักงานใหญ่)",3,หจก.รูบี้ช๊อป,1,WHI,"Warehouse 1",53535,280,31563562,"Spray tip 415",,standard,0,,2,"Airless Sprayer",,,1,WHI,"Warehouse 1",1,PCS,ชิ้น,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0,1,"No Tax",NT,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,,,29654.2100,29654.2100,0.0000,0.0000,0.0000,0.0000,2075.7947,2075.7947,0.0000,31730.0047,31730.0000,,,0,0,,,0.0000
